         1	 -21774464	 -20276928	 -22521043	 -19524508	 -20838626	 -19089626	 -17922947	 -18721292	 -19369337	 -17921908	 -18719961	 -19379015	 -19524508	 -20838626	 -19089626	 -21798458	 -20292430	 -22544557
         2	 -21770762	 -20274540	 -22517414	 -19526472	 -20841389	 -19090645	 -17923116	 -18721506	 -19367849	 -17921746	 -18719753	 -19380508	 -19522538	 -20835856	 -19088600	 -21802162	 -20294821	 -22548186
         3	 -21767061	 -20272153	 -22513787	 -19528421	 -20844136	 -19091648	 -17923288	 -18721722	 -19366363	 -17921567	 -18719528	 -19381983	 -19520569	 -20833087	 -19087575	 -21805850	 -20297195	 -22551798
         4	 -21763361	 -20269769	 -22510162	 -19530354	 -20846867	 -19092633	 -17923461	 -18721940	 -19364880	 -17921371	 -18719283	 -19383441	 -19518602	 -20830320	 -19086553	 -21809521	 -20299550	 -22555393
         5	 -21759663	 -20267386	 -22506538	 -19532272	 -20849581	 -19093601	 -17923637	 -18722161	 -19363398	 -17921158	 -18719021	 -19384881	 -19516638	 -20827555	 -19085532	 -21813177	 -20301886	 -22558970
         6	 -21755966	 -20265004	 -22502915	 -19534174	 -20852280	 -19094551	 -17923816	 -18722383	 -19361919	 -17920928	 -18718740	 -19386303	 -19514675	 -20824791	 -19084514	 -21816816	 -20304204	 -22562531
         7	 -21752271	 -20262625	 -22499293	 -19536061	 -20854962	 -19095485	 -17923996	 -18722608	 -19360442	 -17920680	 -18718441	 -19387707	 -19512714	 -20822030	 -19083498	 -21820439	 -20306503	 -22566074
         8	 -21748577	 -20260248	 -22495673	 -19537932	 -20857628	 -19096401	 -17924179	 -18722835	 -19358966	 -17920415	 -18718124	 -19389093	 -19510755	 -20819269	 -19082484	 -21824046	 -20308784	 -22569600
         9	 -21744884	 -20257872	 -22492054	 -19539788	 -20860277	 -19097300	 -17924364	 -18723065	 -19357493	 -17920133	 -18717789	 -19390461	 -19508799	 -20816511	 -19081472	 -21827637	 -20311047	 -22573109
        10	 -21741192	 -20255498	 -22488437	 -19541629	 -20862911	 -19098182	 -17924552	 -18723296	 -19356022	 -17919834	 -18717435	 -19391812	 -19506844	 -20813754	 -19080463	 -21831211	 -20313291	 -22576600
        11	 -21737502	 -20253126	 -22484821	 -19543454	 -20865528	 -19099047	 -17924742	 -18723530	 -19354553	 -17919517	 -18717063	 -19393145	 -19504891	 -20810999	 -19079455	 -21834770	 -20315516	 -22580074
        12	 -21733814	 -20250756	 -22481206	 -19545263	 -20868128	 -19099894	 -17924934	 -18723766	 -19353086	 -17919183	 -18716673	 -19394459	 -19502940	 -20808246	 -19078450	 -21838312	 -20317723	 -22583531
        13	 -21730126	 -20248387	 -22477592	 -19547057	 -20870712	 -19100724	 -17925128	 -18724004	 -19351621	 -17918832	 -18716265	 -19395756	 -19500991	 -20805494	 -19077446	 -21841837	 -20319912	 -22586970
        14	 -21726440	 -20246021	 -22473980	 -19548835	 -20873280	 -19101537	 -17925325	 -18724244	 -19350158	 -17918464	 -18715838	 -19397034	 -19499044	 -20802744	 -19076445	 -21845346	 -20322082	 -22590392
        15	 -21722756	 -20243656	 -22470370	 -19550598	 -20875831	 -19102333	 -17925524	 -18724487	 -19348697	 -17918079	 -18715393	 -19398295	 -19497099	 -20799996	 -19075446	 -21848839	 -20324234	 -22593796
        16	 -21719073	 -20241293	 -22466760	 -19552345	 -20878365	 -19103112	 -17925725	 -18724731	 -19347239	 -17917676	 -18714930	 -19399537	 -19495156	 -20797249	 -19074449	 -21852315	 -20326367	 -22597183
        17	 -21715391	 -20238932	 -22463152	 -19554076	 -20880883	 -19103873	 -17925929	 -18724978	 -19345782	 -17917256	 -18714448	 -19400761	 -19493214	 -20794504	 -19073455	 -21855774	 -20328481	 -22600552
        18	 -21711710	 -20236572	 -22459545	 -19555792	 -20883384	 -19104618	 -17926135	 -18725227	 -19344327	 -17916819	 -18713948	 -19401967	 -19491275	 -20791761	 -19072462	 -21859217	 -20330577	 -22603904
        19	 -21708031	 -20234215	 -22455940	 -19557491	 -20885868	 -19105345	 -17926343	 -18725479	 -19342875	 -17916365	 -18713431	 -19403154	 -19489338	 -20789019	 -19071471	 -21862642	 -20332655	 -22607238
        20	 -21704354	 -20231859	 -22452336	 -19559175	 -20888335	 -19106054	 -17926553	 -18725732	 -19341424	 -17915894	 -18712895	 -19404323	 -19487403	 -20786279	 -19070483	 -21866051	 -20334714	 -22610553
