        32	 -19016810	 -18908402	 -19817234	 -18592790	 -19069026	 -19069095	 -19030649	 -19831392	 -18911566	 -19017950	 -19818580	 -18909589	 -18591604	 -19067939	 -19067739	 -19031923	 -18912862	 -19832512
        33	 -19016738	 -18908327	 -19817142	 -18592790	 -19069024	 -19069097	 -19030563	 -19831323	 -18911479	 -19017952	 -19818576	 -18909590	 -18591526	 -19067866	 -19067653	 -19031921	 -18912860	 -19832516
        34	 -19016663	 -18908248	 -19817047	 -18592790	 -19069022	 -19069099	 -19030474	 -19831251	 -18911390	 -19017955	 -19818572	 -18909592	 -18591446	 -19067790	 -19067563	 -19031919	 -18912858	 -19832520
        35	 -19016586	 -18908168	 -19816949	 -18592790	 -19069019	 -19069102	 -19030383	 -19831177	 -18911297	 -19017957	 -19818568	 -18909594	 -18591363	 -19067712	 -19067471	 -19031916	 -18912856	 -19832524
        36	 -19016507	 -18908085	 -19816848	 -18592790	 -19069017	 -19069104	 -19030289	 -19831101	 -18911202	 -19017960	 -19818564	 -18909596	 -18591278	 -19067631	 -19067376	 -19031914	 -18912854	 -19832528
        37	 -19016426	 -18907999	 -19816745	 -18592790	 -19069014	 -19069107	 -19030192	 -19831023	 -18911104	 -19017962	 -19818560	 -18909599	 -18591190	 -19067549	 -19067279	 -19031911	 -18912852	 -19832533
        38	 -19016342	 -18907911	 -19816638	 -18592790	 -19069012	 -19069109	 -19030093	 -19830942	 -18911004	 -19017965	 -19818555	 -18909601	 -18591100	 -19067463	 -19067178	 -19031909	 -18912850	 -19832537
        39	 -19016256	 -18907821	 -19816528	 -18592790	 -19069009	 -19069112	 -19029991	 -19830860	 -18910901	 -19017968	 -19818550	 -18909603	 -18591007	 -19067376	 -19067075	 -19031906	 -18912848	 -19832542
        40	 -19016167	 -18907728	 -19816416	 -18592790	 -19069006	 -19069115	 -19029886	 -19830775	 -18910795	 -19017971	 -19818546	 -18909605	 -18590912	 -19067286	 -19066970	 -19031903	 -18912846	 -19832547
        41	 -19016077	 -18907633	 -19816300	 -18592790	 -19069003	 -19069117	 -19029778	 -19830688	 -18910686	 -19017974	 -19818541	 -18909608	 -18590815	 -19067194	 -19066861	 -19031900	 -18912843	 -19832551
