        26	 -21865301	 -20332906	 -22609613	 -19473911	 -20767147	 -19063624	 -17912782	 -18709609	 -19401972	 -17926665	 -18725867	 -19340659	 -19570521	 -20905131	 -19110546	 -21702412	 -20230616	 -22450434
        27	 -21868570	 -20334813	 -22612782	 -19471991	 -20764421	 -19062653	 -17912163	 -18708918	 -19402982	 -17926879	 -18726124	 -19339212	 -19572078	 -20907461	 -19111120	 -21698737	 -20228263	 -22446832
        28	 -21871821	 -20336702	 -22615933	 -19470073	 -20761697	 -19061683	 -17911527	 -18708209	 -19403973	 -17927096	 -18726383	 -19337767	 -19573619	 -20909775	 -19111677	 -21695062	 -20225912	 -22443231
        29	 -21875056	 -20338573	 -22619066	 -19468158	 -20758974	 -19060716	 -17910876	 -18707483	 -19404946	 -17927314	 -18726644	 -19336324	 -19575144	 -20912071	 -19112218	 -21691390	 -20223563	 -22439632
        30	 -21878272	 -20340426	 -22622180	 -19466244	 -20756252	 -19059751	 -17910208	 -18706741	 -19405901	 -17927535	 -18726908	 -19334883	 -19576654	 -20914350	 -19112741	 -21687718	 -20221215	 -22436034
        31	 -21881472	 -20342261	 -22625276	 -19464332	 -20753533	 -19058789	 -17909525	 -18705981	 -19406838	 -17927758	 -18727174	 -19333444	 -19578148	 -20916611	 -19113249	 -21684048	 -20218870	 -22432438
        32	 -21884654	 -20344078	 -22628354	 -19462423	 -20750815	 -19057828	 -17908826	 -18705205	 -19407756	 -17927984	 -18727441	 -19332007	 -19579626	 -20918856	 -19113740	 -21680379	 -20216526	 -22428843
        33	 -21887818	 -20345878	 -22631413	 -19460515	 -20748099	 -19056869	 -17908111	 -18704413	 -19408656	 -17928212	 -18727712	 -19330572	 -19581088	 -20921082	 -19114215	 -21676712	 -20214184	 -22425249
        34	 -21890964	 -20347659	 -22634454	 -19458609	 -20745385	 -19055913	 -17907380	 -18703603	 -19409537	 -17928442	 -18727984	 -19329139	 -19582535	 -20923292	 -19114673	 -21673046	 -20211844	 -22421656
        35	 -21894094	 -20349424	 -22637477	 -19456705	 -20742672	 -19054959	 -17906634	 -18702778	 -19410401	 -17928674	 -18728258	 -19327708	 -19583965	 -20925484	 -19115116	 -21669382	 -20209506	 -22418065
        36	 -21897205	 -20351171	 -22640482	 -19454804	 -20739961	 -19054007	 -17905873	 -18701936	 -19411246	 -17928909	 -18728535	 -19326280	 -19585381	 -20927658	 -19115542	 -21665718	 -20207169	 -22414476
        37	 -21900299	 -20352901	 -22643468	 -19452904	 -20737252	 -19053057	 -17905096	 -18701078	 -19412072	 -17929146	 -18728814	 -19324853	 -19586780	 -20929816	 -19115953	 -21662057	 -20204835	 -22410887
